Twitter Account,Tweet,Tweet Date,Signal Generation Date,Signal Message,Token Mentioned,Token ID,Price at Tweet,Highest price in a day,Highest price in a week,Highest price in a month,Current Price,TP1,SL,Exit Price,P&L
holdersignals,https://x.com/holdersignals/status/1874000158247342391,31/12/2024,1-1-2025,"🚀 Bullish Alert 🚀
🏛️ Token: DUSK ($DUSK)
📈 Signal: Buy
🎯 Targets:
TP1: $0.35
TP2: $0.70
🛑 Stop Loss: $0.20
⏳ Timeline: 3-6 months

💡 Trade Tip:
Leverage the RWA narrative and upcoming mainnet milestones for mid-term growth. Monitor volume resurgence to confirm bullish momentum. Secure partial profits at TP1 while trailing stops above $0.25. Manage risk with disciplined stop-loss adherence given current low volume traction.",DUSK ($DUSK),dusk-network,0.2352,0.237,0.2592,0.2262,0.0951,0.35,0.2,,
BenjiGanar,https://x.com/BenjiGanar/status/1882433052523073545,23/01/2025,24-1-2025,"🚀 Bullish Alert 🚀
🏛️ Token: ViralMind ($VIRAL)
📈 Signal: Buy
🎯 Targets:
TP1: $0.50
TP2: $0.70
🛑 Stop Loss: $0.010
⏳ Timeline: 6-12 months

💡 Trade Tip:
Leverage Vision AI growth potential and enterprise automation adoption catalysts. Monitor Gym product traction and LAM development milestones. Secure partial profits at TP1, trailing stops above $0.035. Manage risk aggressively given speculative volatility and high upside targets.",ViralMind ($VIRAL),viralmind,0.0139,0.0139,0.0159,0.0085,0.0047,0.5,0.01,,
BenjiGanar,https://x.com/BenjiGanar/status/1882099906334396458,22/01/2025,23-1-2025,"🚀 Bullish Alert 🚀
🏛️ Token: Larp Detective Agency ($AGENCY)
📈 Signal: Buy
🎯 Targets:
TP1: $0.0090
TP2: $0.0110
🛑 Stop Loss: $0.0065
⏳ Timeline: 2-4 weeks

💡 Trade Tip:
Leverage the bullish momentum from recent volume surge and price breakout. Secure partial profits at TP1 while trailing stops above $0.0072. Monitor volume sustainability to confirm continuation patterns. Manage risk with disciplined stop-loss adherence amid potential volatility.",Larp Detective Agency ($AGENCY),larp-detective-agency,0.0076,0.0076,0.0064,0.0038,0.0004,0.009,0.0065,,
BenjiGanar,https://x.com/BenjiGanar/status/1880231167003357363,17/01/2025,18-1-2025,"🚀 Bullish Alert 🚀

🏛️ Token: Anti Rug Agent (ANTIRUG)
📈 Signal: Buy
🎯 Targets:
TP1: $0.010
TP2: $0.012
🛑 Stop Loss: $0.0075
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
Strong social sentiment (+43.78% price surge, 190% volume spike) aligns with bullish community activity and developer momentum. Target TP1 at $0.010 (10% upside) and TP2 at $0.012. Set SL below key support at $0.0075 to manage volatility risks. Monitor volume sustainability.",Anti Rug Agent (ANTIRUG),anti-rug-agent,0.0091,0.0091,0.011,0.0082,0.0012,0.01,0.0075,,
BenjiGanar,https://x.com/BenjiGanar/status/1875524743010693455,04/01/2025,5-1-2025,"🐻 Bearish Warning 🐻

🏛️ Token: Dolos The Bully (BULLY)
📈 Signal: Sell
🎯 Targets:
TP1: $0.085
🛑 Stop Loss: $0.098
⏳ Timeline: 3-5 days

💡 Trade Tip:
Recent -8.9% price drop and weakening market cap (-9.21%) contrast with social hype. Exit at TP1 ($0.085) to mitigate downside risk. Set tight SL at $0.098 to protect against volatility spikes. Monitor volume trends for reversal signals.",Dolos The Bully (BULLY),dolos-the-bully,0.0923,0.0923,0.0755,0.0697,0.0014,0.085,0.098,,
cryptostasher,https://x.com/cryptostasher/status/1880285879778046467,17/01/2025,18-1-2025,"🚀 Bullish Alert 🚀

🏛️ Token: Moontax (CPAI)
📈 Signal: Buy
🎯 Targets:
TP1: $0.20
TP2: $0.40
🛑 Stop Loss: $0.15
⏳ Timeline: 2-4 weeks

💡 Trade Tip:
Strong launch momentum (+9.42% price gain, 86% volume surge) aligns with bullish investor confidence in $100M market cap potential. Target TP1 at $0.20 (near $40M market cap) and TP2 at $0.40. Set SL at $0.15 to hedge against altcoin volatility. Monitor roadmap execution for AI tax product adoption catalysts.",Moontax (CPAI),moontax,0.1835,0.1835,0.1564,0.0913,0.0048,0.2,0.15,,
cryptostasher,https://x.com/cryptostasher/status/1879932682475646987,16/01/2025,17-1-2025,"🚀 Bullish Alert 🚀

🏛️ Token: ZIGChain (ZIG)
📈 Signal: Buy
🎯 Targets:
TP1: $0.128
TP2: $0.15
🛑 Stop Loss: $0.115
⏳ Timeline: 2-4 weeks

💡 Trade Tip:
Testnet/mainnet catalysts (+0.97% price uptick, 3.84% volume growth) align with bullish ecosystem developments and deflationary token burns. Target TP1 at $0.128 (5% upside) and TP2 at $0.15. Set SL at $0.115 to hedge against pre-launch volatility. Track mainnet progress and ZIGDAO governance updates for confirmation bias.",ZIGChain (ZIG),zignaly,0.1218,0.1218,0.1319,0.1195,0.079,0.128,0.115,,
cryptostasher,https://x.com/cryptostasher/status/1879863207302734180,16/01/2025,17-1-2025,"🚀 Bullish Alert 🚀

🏛️ Token: Magaverse (MVRS)
📈 Signal: Buy
🎯 Targets:
TP1: $0.085
TP2: $0.10
🛑 Stop Loss: $0.06
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
Political narrative alignment (+30.8% price surge, 59% volume growth) fuels bullish momentum. Target TP1 at $0.085 (18% upside) and TP2 at $0.10. Set SL at $0.06 to safeguard against volatility shifts. Monitor Trump-related newsflow for narrative sustainability.",Magaverse (MVRS),magaverse,0.0718,0.0718,0.0545,0.003,0.0002,0.085,0.06,,
cryptostasher,https://x.com/cryptostasher/status/1879631981128069318,16/01/2025,17-1-2025,"🚀 Bullish Alert 🚀

🏛️ Token: CryptoAutos (AUTOS)
📈 Signal: Buy
🎯 Targets:
TP1: $0.045
TP2: $0.055
🛑 Stop Loss: $0.035
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
Strong fundamentals (largest crypto car marketplace, +$58M sales revenue) contrast with recent -11.93% dip and -76% volume contraction. Target TP1 at $0.045 (10% upside) and TP2 at $0.055. Set SL at $0.035 to hedge against bearish momentum. Watch for partnership announcements to validate bullish narrative.",CryptoAutos (AUTOS),cryptoautos,0.0465,0.0465,0.0436,0.0452,0.0194,0.045,0.035,,
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1876544467471122481,07/01/2025,8-1-2025,"🚀 Bullish Alert 🚀

🏛️ Token: AstraDex AI (ADEX)
📈 Signal: Buy
🎯 Targets:
TP1: $0.054
TP2: $0.06
🛑 Stop Loss: $0.045
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
Recent -7.58% dip contrasts with bullish $ASTRA-linked narrative and low $1.1M MC potential. Target TP1 at $0.054 (pre-correction level) and TP2 at $0.06. Set SL at $0.045 to manage downside risks. Monitor $ASTRA’s momentum and partnership updates for confirmation bias. Low volume (-73%) warrants cautious position sizing.",AstraDex AI (ADEX),astradex-ai,0.0543,0.0502,0.0583,0.1665,0.0395,0.054,0.045,,
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1870155414140064071,20/12/2024,21-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: ZIGChain (ZIG)
📈 Signal: Buy
🎯 Targets:
TP1: $0.138
TP2: $0.157
🛑 Stop Loss: $0.117
⏳ Timeline: 1-3 days

💡 Trade Tip:
Buy on dips given bullish momentum and community-driven hype. Monitor volume spikes for confirmation of upward breaks. Maintain tight stop-loss to hedge against volatility. Declining volume (-3.99%) warrants caution despite price strength.",ZIGChain (ZIG),zignaly,0.1257,0.1257,0.1295,0.1319,0.0774,0.138,0.117,,
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1869075791151284619,17/12/2024,18-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Trust The Process (TRUST)
📈 Signal: Buy
🎯 Targets:
TP1: $0.039
TP2: $0.046
🛑 Stop Loss: $0.025
⏳ Timeline: 1-3 days

💡 Trade Tip:
Capitalize on strong momentum (84% price surge) and growing community traction (38k+ holders). Set trailing stops to lock gains amid high volatility. Watch for volume sustainability after a 172% spike. Avoid over-leverage given rapid market cap expansion (+85%).",Trust The Price (TST),trust-the-process,0.0325,0.0325,0.0429,0.0346,0.0009,0.039,0.025,,
